NAME,DATA TIMESTAMP,RAINFALL DAY MM
Nuhon,2025-01-28 00:00:00.0 +0:00,0
Nuhon,2025-01-29 00:00:00.0 +0:00,0
Nuhon,2025-01-30 00:00:00.0 +0:00,0
Nuhon,2025-01-31 00:00:00.0 +0:00,5
Sinorang,2025-01-01 00:00:00.0 +0:00,106
Sinorang,2025-01-02 00:00:00.0 +0:00,0
Sinorang,2025-01-03 00:00:00.0 +0:00,11
Sinorang,2025-01-04 00:00:00.0 +0:00,0
Sinorang,2025-01-05 00:00:00.0 +0:00,0
Sinorang,2025-01-06 00:00:00.0 +0:00,0
Sinorang,2025-01-07 00:00:00.0 +0:00,0
Sinorang,2025-01-08 00:00:00.0 +0:00,0
Sinorang,2025-01-09 00:00:00.0 +0:00,5
Sinorang,2025-01-10 00:00:00.0 +0:00,3
Sinorang,2025-01-11 00:00:00.0 +0:00,0
Sinorang,2025-01-12 00:00:00.0 +0:00,4
Sinorang,2025-01-13 00:00:00.0 +0:00,0
Sinorang,2025-01-14 00:00:00.0 +0:00,13
