NAME,DATA TIMESTAMP,RAINFALL DAY MM
Beringin,2025-07-09 00:00:00.0 +0:00,0
Beringin,2025-07-10 00:00:00.0 +0:00,0
Beringin,2025-07-11 00:00:00.0 +0:00,0
Beringin,2025-07-12 00:00:00.0 +0:00,0
Beringin,2025-07-13 00:00:00.0 +0:00,10
Beringin,2025-07-14 00:00:00.0 +0:00,0
Beringin,2025-07-15 00:00:00.0 +0:00,4
Beringin,2025-07-16 00:00:00.0 +0:00,14
Beringin,2025-07-17 00:00:00.0 +0:00,0
Beringin,2025-07-18 00:00:00.0 +0:00,0
Beringin,2025-07-19 00:00:00.0 +0:00,0
Beringin,2025-07-20 00:00:00.0 +0:00,0
Beringin,2025-07-21 00:00:00.0 +0:00,0
Beringin,2025-07-22 00:00:00.0 +0:00,0
Beringin,2025-07-23 00:00:00.0 +0:00,0
Beringin,2025-07-24 00:00:00.0 +0:00,0
Beringin,2025-07-25 00:00:00.0 +0:00,0
Beringin,2025-07-26 00:00:00.0 +0:00,0
Beringin,2025-07-27 00:00:00.0 +0:00,0
Beringin,2025-07-28 00:00:00.0 +0:00,0
Beringin,2025-07-29 00:00:00.0 +0:00,0
Beringin,2025-07-30 00:00:00.0 +0:00,0
Beringin,2025-07-31 00:00:00.0 +0:00,0
Beringin,2025-08-01 00:00:00.0 +0:00,0
Beringin,2025-08-02 00:00:00.0 +0:00,9
Beringin,2025-08-03 00:00:00.0 +0:00,0
Beringin,2025-08-04 00:00:00.0 +0:00,0
Beringin,2025-08-05 00:00:00.0 +0:00,13
Beringin,2025-08-06 00:00:00.0 +0:00,0
Beringin,2025-08-07 00:00:00.0 +0:00,0
Beringin,2025-08-08 00:00:00.0 +0:00,0
Beringin,2025-08-09 00:00:00.0 +0:00,0
Beringin,2025-08-10 00:00:00.0 +0:00,13
Beringin,2025-08-11 00:00:00.0 +0:00,4
Beringin,2025-08-12 00:00:00.0 +0:00,6
Beringin,2025-08-13 00:00:00.0 +0:00,0
Beringin,2025-08-14 00:00:00.0 +0:00,0
Beringin,2025-08-15 00:00:00.0 +0:00,0
Beringin,2025-08-16 00:00:00.0 +0:00,2
Beringin,2025-08-17 00:00:00.0 +0:00,0
Beringin,2025-08-18 00:00:00.0 +0:00,0
Beringin,2025-08-19 00:00:00.0 +0:00,0
Beringin,2025-08-20 00:00:00.0 +0:00,16
Beringin,2025-08-21 00:00:00.0 +0:00,0
Beringin,2025-08-22 00:00:00.0 +0:00,6
Beringin,2025-08-23 00:00:00.0 +0:00,4
Beringin,2025-08-24 00:00:00.0 +0:00,46
Beringin,2025-08-25 00:00:00.0 +0:00,0
Beringin,2025-08-26 00:00:00.0 +0:00,9
Beringin,2025-08-27 00:00:00.0 +0:00,0
Beringin,2025-08-28 00:00:00.0 +0:00,0
Beringin,2025-08-29 00:00:00.0 +0:00,0
